ID,INCIDENT_DATE,STATE,AIRPORT_ID,AIRPORT,OPID,OPERATOR,SPECIES_ID,SPECIES_GROUP,SPECIES,DAMAGE,INCIDENT_YEAR,TIME_OF_DAY,TIME,HEIGHT,SPEED,PHASE_OF_FLT,BIRDS_STRUCK,SIZE
777,12/15/11 0:00,WA,KBLI,BELLINGHAM INTL,UNK,UNKNOWN,NE121,Bird,California gull,,2011,,,0,0,,1,Medium
778,12/11/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,QXE,HORIZON AIR,R1101,Bird,Barn owl,,2011,Night,2239,60,0,Climb,1,Small
779,12/9/11 0:00,WA,KGEG,SPOKANE INTERNATIONAL,FDX,FEDEX EXPRESS,UNKB,Bird,Unknown bird,N,2011,Night,515,2600,0,Approach,1,
780,12/1/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,K3311,Bird,Cooper's hawk,,2011,,,0,0,,1,Medium
781,11/25/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,QXE,HORIZON AIR,NE106,Bird,Glaucous-winged gull,N,2011,Day,720,0,0,Landing Roll,1,Medium
782,11/23/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,QXE,HORIZON AIR,R2001,Bird,Snowy owl,N,2011,Night,1923,0,0,Landing Roll,1,Large
783,11/21/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,YL001,Bird,European starling,N,2011,Day,1233,0,0,Approach,1,Small
784,11/18/11 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,BUS,BUSINESS,NE1,Bird,Gulls,N,2011,Night,2017,200,0,Approach,1,Medium
785,11/11/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,NE106,Bird,Glaucous-winged gull,,2011,,,0,0,,1,Medium
786,11/10/11 0:00,WA,KRNT,RENTON MUNICIPAL ARPT,UNK,UNKNOWN,NE106,Bird,Glaucous-winged gull,,2011,,,0,0,,1,Medium
787,11/8/11 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UNK,UNKNOWN,NE106,Bird,Glaucous-winged gull,,2011,,,0,0,,1,Medium
788,11/8/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,K5114,Bird,American kestrel,,2011,,,0,0,,1,Small
789,11/6/11 0:00,WA,KTCM,MCCORD FIELD ARPT,MIL,MILITARY,J2109,Bird,Mallard,N,2011,,1730,200,0,Approach,,Medium
790,11/4/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,NE1,Bird,Gulls,,2011,,,0,0,,1,Medium
791,11/2/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,SWA,SOUTHWEST AIRLINES,UNKBM,Bird,Unknown bird - medium,N,2011,Night,2245,0,0,Approach,1,Medium
792,11/1/11 0:00,WA,KSEA,SEATTLE-TACOMA INTL,SWA,SOUTHWEST AIRLINES,N5111,Bird,Killdeer,N,2011,Night,2230,0,0,Approach,1,Small
793,10/25/11 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UPS,UPS AIRLINES,UNKBM,Bird,Unknown bird - medium,N,2011,Night,1840,5300,235,Approach,1,Medium
